date,close,volume,change
2022-06-27,100057,5689,-0.009657682543731269
2022-06-28,99085,3322,-0.009761955980619815
2022-06-29,99085,2210,0.0
2022-06-30,99571,1538,0.00489288991608286
2022-07-01,99085,5146,-0.004892889916082757
2022-07-04,98114,5182,-0.009847999711320615
2022-07-05,98114,4788,0.0
2022-07-06,98600,2740,0.004941193700734061
2022-07-07,99085,3121,0.004906806010586387
2022-07-08,99571,2491,0.00489288991608286
2022-07-11,100057,1887,0.004869066064537002
2022-07-12,100057,8355,0.0
2022-07-13,102485,8626,0.02397642280629555
2022-07-14,102971,5008,0.004730948781886674
2022-07-15,103457,4409,0.004708672253272148
2022-07-18,104914,4209,0.013984899494461836
2022-07-19,106371,5305,0.01379201643061055
2022-07-20,103942,5905,-0.02309993210083976
2022-07-21,102971,6208,-0.009385656077504962
2022-07-22,100542,3727,-0.02387184454133615
2022-07-25,98600,12561,-0.019504289038052364
2022-07-26,98600,5820,0.0
2022-07-27,97628,10606,-0.009906924087344627
2022-07-28,97628,5664,0.0
2022-07-29,96948,11190,-0.006989585235673198
2022-08-01,99571,5990,0.0266962052496871
2022-08-02,99571,5111,0.0
2022-08-03,98600,5988,-0.0097996959266692
2022-08-04,98600,5662,0.0
2022-08-05,101028,10494,0.02432644453493747
2022-08-08,100542,8101,-0.0048221554968851865
2022-08-09,104428,13745,0.037922288076627675
2022-08-10,104428,15914,0.0
2022-08-11,103457,8223,-0.009341771282019181
2022-08-12,106371,14895,0.027776915925072542
2022-08-16,106371,5167,0.0
2022-08-17,106371,2122,0.0
2022-08-18,105400,7648,-0.009170347259060943
2022-08-19,103942,3201,-0.013929584841778735
2022-08-22,103942,3874,0.0
2022-08-23,103457,5158,-0.004676983824232821
2022-08-24,104914,2143,0.013984899494461836
2022-08-25,103457,5252,-0.013984899494461899
2022-08-26,103457,1736,0.0
2022-08-29,101028,1865,-0.023758361297723112
2022-08-30,102971,3404,0.01904968904445096
2022-08-31,105400,6108,0.023315240919283827
2022-09-01,102000,2424,-0.03278982282299084
2022-09-02,103457,6032,0.014183254156979349
2022-09-05,103457,995,0.0
2022-09-06,103457,1603,0.0
2022-09-07,101028,3954,-0.023758361297723112
2022-09-08,97628,15910,-0.03423336862228209
2022-09-13,101028,5128,0.034233368622282205
2022-09-14,99085,1811,-0.019419638524351055
2022-09-15,101028,2359,0.01941963852435092
2022-09-16,99085,1511,-0.019419638524351055
2022-09-19,99571,3273,0.00489288991608286
2022-09-20,99085,896,-0.004892889916082757
2022-09-21,100542,2077,0.014597483027465864
2022-09-22,98600,3827,-0.019504289038052364
2022-09-23,96560,5436,-0.020906684819313712
2022-09-26,95880,4030,-0.007067167223092443
2022-09-27,95200,2141,-0.0071174677688639896
2022-09-28,93937,2061,-0.01335559698624937
2022-09-29,97628,4663,0.03853999271017483
2022-09-30,98114,3469,0.004965730386610424
2022-10-04,96462,3657,-0.016980919498977776
2022-10-05,97045,5161,0.006025640043812589
2022-10-06,95588,5101,-0.015127499286559773
2022-10-07,95782,4786,0.0020274867163749856
2022-10-11,93062,4484,-0.02880883818608925
2022-10-12,92868,2929,-0.002086807620094127
2022-10-13,91508,2566,-0.01475272992278543
2022-10-14,95685,3541,0.04463514620849134
2022-10-17,96365,1684,0.007081518788986527
2022-10-18,97628,1784,0.013021272370230185
2022-10-19,95685,1376,-0.020102791159216767
2022-10-20,96462,2486,0.008087602046849482
2022-10-21,95200,1595,-0.013169206611558211
2022-10-24,97142,2584,0.020193883749180092
2022-10-25,95977,1823,-0.012065246116668472
2022-10-26,96171,1932,0.0020192774935911427
2022-10-27,98600,3897,0.02494340468516723
2022-10-28,99085,1787,0.004906806010586387
2022-10-31,99085,1232,0.0
2022-11-01,99085,2193,0.0
2022-11-02,100542,2961,0.014597483027465864
2022-11-03,97628,4762,-0.029411213125396917
2022-11-04,99085,2663,0.014813730097931207
2022-11-07,99571,2768,0.00489288991608286
2022-11-08,99571,3247,0.0
2022-11-09,99571,2400,0.0
2022-11-10,98600,1483,-0.0097996959266692
2022-11-11,98600,1617,0.0
2022-11-14,98600,1149,0.0
2022-11-15,99085,2608,0.004906806010586387
2022-11-16,98600,2006,-0.004906806010586535
2022-11-17,98114,1391,-0.004941193700734035
2022-11-18,98114,2467,0.0
2022-11-21,96657,1876,-0.014961438595779034
2022-11-22,95782,1582,-0.009093853429570945
2022-11-23,97628,1943,0.019089561638739462
2022-11-24,98600,1317,0.009906924087344624
2022-11-25,99571,2802,0.009799695926669204
2022-11-28,98600,1279,-0.0097996959266692
2022-11-29,99571,3620,0.009799695926669204
2022-11-30,99085,6303,-0.004892889916082757
2022-12-01,97142,10635,-0.019804242072676493
2022-12-02,97628,3022,0.004990511974745382
2022-12-05,97628,1571,0.0
2022-12-06,98600,1884,0.009906924087344624
2022-12-07,97142,2850,-0.014897436062089934
2022-12-08,97142,2779,0.0
2022-12-09,98600,3281,0.014897436062090045
2022-12-12,98600,1656,0.0
2022-12-13,99571,4493,0.009799695926669204
2022-12-14,100057,4455,0.004869066064537002
2022-12-15,99085,1648,-0.009761955980619815
2022-12-16,98600,857,-0.004906806010586535
2022-12-19,98600,1154,0.0
2022-12-20,98600,3953,0.0
2022-12-21,98600,2472,0.0
2022-12-22,98600,5587,0.0
2022-12-23,97628,1065,-0.009906924087344627
2022-12-26,98114,4237,0.004965730386610424
2022-12-27,99571,4018,0.014740889627403393
2022-12-28,99571,5079,0.0
2022-12-29,98600,2197,-0.0097996959266692
2023-01-02,97628,3200,-0.009906924087344627
2023-01-03,97045,3585,-0.00598954906855464
2023-01-04,96462,2720,-0.0060256400438125956
2023-01-05,96462,3762,0.0
2023-01-06,96171,2312,-0.0030212914854554646
2023-01-09,95977,4925,-0.0020192774935911643
2023-01-10,94714,5189,-0.013246754895083854
2023-01-11,94714,3387,0.0
2023-01-12,95491,2137,0.0081701776732941
2023-01-13,95394,3715,-0.0010163188134144302
2023-01-16,97142,11941,0.018158142151872652
2023-01-17,96560,6294,-0.006009248757223665
2023-01-18,95394,6433,-0.012148893394649075
2023-01-19,97628,7670,0.023148654126618012
2023-01-20,98114,3773,0.004965730386610424
2023-01-25,97920,2117,-0.001979249143839691
2023-01-26,98988,8738,0.010847811902579076
2023-01-27,97142,7859,-0.018824805120095177
2023-01-30,96462,4071,-0.007024677137621903
